Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Avg_Trading
2018-03-13,1360.02,1366.9,1335.42,1342.3,88067154,0,0,1351.16
2009-05-06,125.77,128.03,121.19,125.2,52522096,0,0,125.05
2005-04-20,112.13,112.13,102.16,104.3,47498256,0,0,107.68
2007-10-31,201.25,204.46,195.49,199.52,47216528,0,0,200.18
2004-08-26,92.2,92.67,90.65,90.99,40443200,0,0,91.63
2009-07-20,176.52,204.24,176.52,198.55,34539536,0,0,188.96
2004-08-27,91.31,91.31,89.09,89.47,30646000,0,0,90.3
2005-01-13,122.08,124.75,118.82,120.48,27757952,0,0,121.53
2005-04-19,124.27,126.04,110.08,112.94,27235152,0,0,118.33
2004-08-30,90.15,92.01,89.69,91.71,24465208,0,0,90.89
2018-07-11,1781.62,1873.51,1776.14,1856.54,22903802,0,0,1821.95
2007-04-25,233.46,233.82,230.22,232.76,21752404,0,0,232.57
2004-09-02,92.01,93.37,91.64,92.36,21356352,0,0,92.34
2004-08-31,91.69,92.01,90.71,91.84,21194656,0,0,91.56
2004-09-13,92.11,94.39,92.11,93.27,20904912,0,0,92.97
2005-01-12,123.57,127.48,119.91,120.97,20720032,0,0,122.98
2004-09-01,92.01,92.48,91.42,91.82,19935544,0,0,91.93
2020-10-08,2763.24,2847.13,2763.24,2788.6,19839329,0,0,2790.55
2004-10-14,102.52,104.47,101.13,103.74,19225984,0,0,102.97
2010-07-16,322.62,340.27,322.62,338.3,19135452,0,0,330.95
2004-10-28,106.7,109.48,106.7,108.66,18591416,0.38,0,107.88
2018-04-20,1511.18,1591.32,1506.53,1582.07,18465662,0,0,1547.77
2012-04-24,464.93,499.32,462.98,494.85,18113782,0,0,480.52
2005-05-30,118.59,124.56,118.11,123.26,17893184,0,0,121.13
2004-10-15,104.26,106.05,103.84,104.66,17799744,0,0,104.7
2004-10-06,100.47,102.5,99.92,100.53,17670664,0,0,100.86
2020-10-05,2585.6,2692.28,2568.88,2670.28,17412105,0,0,2629.26
2011-04-21,506.6,508.56,477.97,486.64,17333968,0,0,494.94
2009-05-28,122.85,132.8,122.85,130.69,16863676,0,0,127.29
2008-04-29,170.18,179.44,167.89,175.68,16209848,0,0,173.3
2004-09-23,97.41,97.5,95.45,95.76,15819680,0,0,96.53
2005-01-14,121.58,122.81,119,120.81,15757776,0,0,121.05
2009-07-30,201.25,217.08,195.27,212.34,15672482,0,0,206.48
2004-10-12,103.17,103.63,100.16,100.79,15600512,0,0,101.94
2008-05-30,191.2,202.4,188.7,200.49,15485284,0,0,195.7
2004-09-22,97.44,98.15,96.39,97.78,15371584,0,0,97.44
2004-09-14,93.41,94.69,93.22,94.4,15335472,0,0,93.93
2008-04-24,174.42,174.59,166.7,171.86,15290096,0,0,171.89
2009-03-26,101.02,113.89,101.02,110.05,15230328,0,0,106.49
2018-04-23,1592.09,1654.35,1576.07,1584.95,15185910,0,0,1601.86
2004-10-04,98.24,100.47,98.01,100.05,15129824,0,0,99.19
2008-09-25,138.83,140.15,130.65,134.02,15122632,0,0,135.91
2006-04-18,186.69,197.07,186.69,189.66,14778488,0,0,190.03
